simbolo,llr0,llr1,llr2,llr3
0,1.7068,-1.8080,-2.0944,-3.7528
1,0.3584,-0.3584,-2.1603,-3.2920
2,1.1539,-1.5614,-1.5614,-2.4327
3,1.0815,0.9221,-3.4570,-4.8410
4,0.3916,0.3916,-2.8203,-4.6154
5,-1.2473,-1.2473,-2.5108,-3.4620
6,-0.5748,-1.3681,-2.7338,-3.9173
7,1.6010,1.3389,-1.6010,-2.5530
8,-0.6148,-0.6418,-0.6418,-3.3395
9,2.9522,-1.2022,-1.6660,-3.0557
10,-0.4578,-0.4578,-1.4296,-4.1917
11,-0.7910,0.8319,-0.9161,-3.7778
12,1.0176,1.0176,-1.5254,-1.9054
13,1.5672,1.7246,1.5672,-4.2501
14,3.5115,3.8021,3.5115,-5.2487
15,0.8888,2.4027,1.6697,-4.7081
16,-0.4034,0.9652,1.4614,-2.9663
17,-1.7967,2.5808,1.8566,-2.6412
18,-1.8121,1.9157,1.8121,-2.3823
19,-1.1677,2.0782,2.0782,-2.5928
20,0.4119,0.4119,2.5143,-2.6599
21,-0.7844,1.0816,0.7844,-2.5025
22,-0.6240,1.1142,-0.6240,-2.5014
23,-0.1073,0.3540,0.3540,-1.7468
24,1.3694,1.3694,1.2326,-2.1495
25,-2.0717,-1.5074,2.0717,-5.1841
26,-0.9260,0.9160,0.9160,-2.0860
27,-0.8375,0.9054,1.2221,-2.8514
28,0.7895,1.4689,-0.7895,-2.3735
29,0.6580,0.9618,-0.6580,-3.0134
30,0.8544,0.6864,0.4818,-3.5408
31,-0.8270,-0.8270,0.8270,-2.1689
32,1.0774,0.7954,0.7954,-2.8654
33,-1.6168,-1.0262,1.0262,-2.2458
34,-0.4631,-0.4631,0.4631,-2.4522
35,1.3056,1.4880,1.4880,-2.8268
36,-0.2331,-0.2331,-0.2331,-1.9843
37,1.7477,1.7477,-1.7585,-3.8784
38,1.0148,1.0207,-1.4639,-3.3676
39,1.5011,1.5011,-2.2656,-3.0075
40,0.7815,-0.7674,-0.7674,-1.9674
41,2.1786,1.6988,-1.6988,-2.6471
42,-0.5732,-0.8822,-1.8803,-1.9293
43,0.7630,0.1434,-1.2276,-2.5959
44,0.2236,0.2236,-1.9337,-3.1457
45,0.3575,0.3180,0.5057,-2.5069
46,-1.4251,1.0345,-1.4251,-2.5601
47,0.9620,0.9451,-1.9799,-2.3665
48,-1.3012,1.0845,-1.0786,-1.3012
49,-0.4730,0.8284,0.4730,-1.9964
50,-1.3784,1.3506,-1.3784,-1.6348
51,-0.4540,1.5023,0.4540,-1.7459
52,0.4850,-0.4406,-0.4506,-1.1704
53,0.4862,1.3409,-0.4862,-2.2080
54,1.5690,1.5358,-1.8775,-1.5690
55,1.5004,2.5333,-1.0686,-2.8250
56,0.9277,0.8249,-0.9277,-3.2199
57,-1.0305,2.0965,-2.0965,-2.9516
58,0.7191,-0.7191,1.3377,-1.3686
59,-1.4871,1.0354,-1.0354,-3.1102
60,1.2508,1.3222,-1.3222,-2.9708
61,-1.6463,0.9015,0.9015,-2.6851
62,0.9966,0.9966,-1.0681,-1.4207
63,-1.4746,1.6097,0.6712,-2.6202
64,2.3155,1.3391,-1.3391,-4.2511
65,0.7090,1.3867,-1.3867,-2.2404
66,0.9880,0.9880,-0.9880,-2.5153
67,0.4940,0.4940,-1.0505,-1.7435
68,1.0546,1.5944,-1.4310,-2.8949
69,1.4733,1.4945,-1.4945,-2.6009
70,1.2216,2.4613,-2.0402,-3.6467
71,0.8629,1.8047,-0.8629,-1.9589
72,1.0658,1.0658,-1.5793,-2.0797
73,-0.8442,0.8442,-0.8442,-1.7341
74,1.1375,2.7891,2.3267,-1.4401
75,1.6553,1.7102,1.7102,-2.1010
76,4.2507,3.8376,4.2507,-4.1213
77,1.8984,2.4847,1.8984,-2.4847
78,1.5337,1.8808,2.3540,-2.7462
79,1.2826,1.2826,1.3287,-1.7286
80,1.1407,1.1328,1.1407,-1.7844
81,0.6214,1.1617,1.1617,-2.2048
82,-0.7333,0.6514,0.6514,-0.7822
