stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-185041-spk45-g1.0-A2B,mary,100,1.0,1,48,74.94,0,0.3562,0.0662
20260903-185221-spk45-g1.0-A2B,mary,100,1.0,1,48,78.27,0,0.3447,0.0568
20260903-185401-spk45-g1.0-A2B,mary,100,1.0,1,48,84.1,0,0.3753,0.0644
20260903-185801-spk45-g0.25-A2B,mary,100,0.25,1,48,84.18,0,0.1172,0.0173
20260903-185935-spk45-g0.25-A2B,mary,100,0.25,1,48,88.34,1,0.1721,0.0256
20260903-190111-spk45-g0.25-A2B,mary,100,0.25,1,48,85.51,1,0.1021,0.015
