simbolo,llr0,llr1,llr2,llr3
0,-0.4824,0.9437,-0.6883,-0.6883
1,-0.6723,0.2367,-0.6723,-1.3439
2,0.4028,-0.4028,-1.1785,-1.3833
3,-0.6134,-0.5181,-0.5181,-2.3629
4,1.9324,1.9324,1.9324,-2.2842
5,-0.3665,-0.6608,-0.6608,-2.4784
6,0.6466,0.7843,0.6466,-1.7857
7,0.8387,-1.1187,-0.8387,-0.8387
8,-0.3708,-0.3708,-0.5576,-0.5576
9,-0.9551,-0.9551,-0.9551,-1.3571
10,-1.5120,-1.7338,-0.3629,-1.5120
11,-1.3132,-0.9266,-1.6012,-1.6012
12,-0.7997,-0.9331,0.3735,-0.5806
13,-0.9809,-0.3498,-0.9809,-0.9809
14,-0.8896,0.8896,-1.3721,-1.5746
15,-1.6854,1.4126,-1.3056,-1.6328
16,0.5164,-0.5164,-1.3975,-1.3975
17,-1.2911,-1.3009,-1.0165,-1.2911
18,-1.6681,0.3534,-0.3534,-2.0551
19,-1.0385,0.9078,-1.6915,-2.2615
20,-0.8241,1.1520,-0.8241,-2.3786
21,-0.9902,1.3158,-0.8230,-0.8230
22,-0.5516,-0.5516,-0.5516,-1.8588
23,-0.7396,-0.3735,0.6307,-1.5971
24,-0.4966,0.6632,-0.5551,-0.5619
25,-1.4818,-0.6890,-1.1040,-1.1040
26,-1.0032,-1.0032,-0.4988,-1.6010
27,-1.4332,1.1517,-1.7953,-1.7953
28,-0.8180,-0.8180,1.2333,-2.5326
29,0.4946,-0.4988,0.8828,-0.8828
30,-0.9765,-0.9765,-0.5520,-0.9765
31,-1.0296,-1.4028,-1.0296,-1.4028
32,0.2477,-0.2477,-0.2327,-0.6742
33,0.6877,0.6877,-0.5526,-1.5855
34,0.7047,0.7047,-0.7047,-2.0787
35,1.1933,1.1460,1.1933,-1.1460
36,0.6063,-2.4398,-0.9021,-1.9499
37,-1.7539,-0.8932,-1.6263,-2.0431
38,-1.0143,-0.3050,0.1876,-1.3839
39,0.7313,-0.8053,0.7313,-2.2912
40,1.0314,1.0314,-1.1257,-1.2984
41,-1.8397,-2.2105,-2.2105,-2.2105
42,-0.8204,0.7000,0.2511,0.2511
43,0.7341,0.7341,0.7341,-1.6274
44,-1.4707,-1.5630,-1.4707,-1.4707
45,-0.6351,-0.6351,-0.6412,-0.7979
46,-1.8043,-1.2419,-1.7906,-1.7906
47,-0.9907,-0.9907,-1.5540,-1.5540
48,-0.6783,-0.6783,-2.1365,-1.9073
49,-0.5669,-0.7106,-0.9644,-0.9644
50,-0.9926,0.6719,0.9667,-0.9679
51,-1.0057,1.0057,-0.9769,-0.9769
52,1.2296,-0.5608,-0.5608,-1.5020
53,0.9201,-0.9201,1.4439,-0.9201
54,-0.8922,-0.8922,0.6836,-1.7068
55,-0.9780,0.6960,0.6960,-0.6846
56,0.2197,0.2197,0.9379,0.2197
57,-0.7245,-1.1847,-0.7245,-1.4697
58,-2.2027,1.1535,1.1535,-1.9176
59,0.4517,-0.4691,-0.4691,-0.7297
60,1.9522,1.9522,3.3944,2.1373
61,2.9251,2.9251,2.9251,2.9251
62,8.2235,7.4609,8.0372,7.4609
63,7.7028,9.4913,7.7028,7.7028
64,8.2954,8.2954,8.2954,8.2954
65,8.6344,9.1423,8.6344,8.6344
66,8.4200,8.4200,8.4200,8.4887
67,8.1801,8.5412,8.1801,8.1801
68,6.8071,6.8071,6.8071,6.8753
69,1.9339,1.9339,1.9339,1.9339
70,0.4996,0.6447,0.6031,0.4996
71,1.5351,0.7571,1.5351,1.5998
72,-1.4614,1.6449,1.0347,-1.5602
73,1.2406,1.2406,1.7613,1.2406
74,-0.4831,-0.4831,-0.4831,0.4831
75,-0.7576,0.7576,0.8479,-0.6300
76,-0.5814,0.9398,0.6607,-0.5814
77,-0.3416,-0.3416,-0.3416,0.7099
78,1.0386,1.0386,1.0386,1.0386
79,0.8314,0.8314,0.8314,1.1449
80,1.3768,1.3768,1.3768,1.3768
81,2.4082,2.4082,2.4082,2.4082
82,1.8397,1.8397,1.8397,1.7486
83,2.4050,2.4050,2.4050,2.2099
84,1.7165,1.7165,1.7165,1.7165
85,2.6277,2.7264,2.6277,2.7264
86,2.1908,2.1908,2.1908,2.1908
87,2.4602,2.4602,2.4602,2.2950
88,2.3322,2.3322,2.3322,2.3322
89,2.9261,2.9261,2.9261,2.9261
90,2.5477,2.5477,2.5477,2.5477
91,2.8730,2.8730,2.8730,2.8730
92,2.5050,2.5050,2.5050,2.5050
93,3.1872,3.1872,3.1872,3.1872
94,2.6941,2.6941,2.6941,2.6941
95,3.1482,3.1482,3.1482,3.1482
96,2.7838,2.8719,2.7838,2.8719
97,3.2090,3.2090,3.2090,3.2090
98,3.0042,3.0042,3.0042,3.0042
99,3.2043,3.2043,3.2043,3.2043
100,2.8975,2.8975,2.8975,3.0271
101,3.4214,3.3981,3.4214,3.3981
102,3.1096,3.1096,3.1096,3.1096
103,3.5179,3.3891,3.5179,3.3891
104,2.9075,2.9243,2.8315,3.0864
105,3.7243,3.4591,3.7243,3.4591
106,3.2273,3.2273,3.2273,3.2273
107,3.6947,3.4723,3.6947,3.4723
108,2.9744,2.9744,2.9648,3.2497
109,3.7375,3.4971,3.7375,3.4971
110,3.3163,3.3163,3.3163,3.3163
111,3.7209,3.5513,3.7209,3.5513
112,2.9247,3.0075,2.8834,3.2817
113,3.8379,3.6016,3.8379,3.6016
114,3.3536,3.3536,3.3536,3.3536
115,3.8639,3.6139,3.8639,3.6139
116,2.9665,3.0228,2.9552,3.2782
117,3.9531,3.6674,3.9531,3.6674
118,3.3812,3.3812,3.3812,3.3812
