simbolo,llr0,llr1,llr2,llr3
0,3.4048,-3.4048,-0.9184,-1.3892
1,3.1934,-3.1255,-1.0427,-1.7444
2,2.3564,-2.7955,-1.1579,-1.6812
3,2.7227,-2.6505,-1.7265,-1.9672
4,2.8339,-2.7827,-1.8413,-2.1296
5,2.7945,-3.4374,-2.5909,-2.8745
6,3.5788,-3.3999,-3.2775,-3.2886
7,-0.9777,-0.9796,-1.5525,-1.5808
8,-0.2160,-0.1829,0.2160,0.1829
9,-0.5167,0.6170,-0.5167,-0.6170
10,-0.9456,1.7744,1.7744,0.9456
11,1.3710,-1.3710,-2.1199,-2.1199
12,-1.7244,-1.2963,-1.7244,-1.2963
13,-0.8875,0.8875,0.8875,-1.4601
14,1.2363,-1.2711,-1.2711,-1.4908
15,0.5103,-1.0047,-0.5103,-0.5103
16,0.2001,0.1979,0.1979,-0.5506
17,0.6709,0.6709,0.6709,0.6709
18,0.1194,0.2171,-1.5814,-0.1194
19,-0.7407,-0.9245,0.6886,-0.9245
20,1.0493,2.0959,1.0493,-1.4864
21,-1.3284,1.3623,-1.3284,-1.4656
22,-0.5660,0.4471,0.5660,0.4471
23,-1.0406,1.0406,1.0406,-1.9976
24,-1.2159,0.9911,-0.9911,-0.9911
25,0.1669,-0.1669,0.1669,0.1669
26,0.7276,-1.2638,-1.1003,-1.2638
27,-0.4100,-0.6463,0.3725,-0.7062
28,-0.9679,0.9679,1.0865,-1.1682
29,-0.7761,-0.2036,0.2663,0.2036
30,0.5684,-0.6026,-0.6582,-0.6026
31,-0.5807,0.5807,-1.5285,-1.5285
32,-0.8118,-0.4944,-0.6934,-0.4944
33,-0.9413,1.4345,-0.9140,-1.0927
34,-0.5451,0.5451,-0.6489,-0.5249
35,-0.8979,-0.6313,-0.7417,-0.7417
36,-0.9678,-1.0097,-0.9678,1.5839
37,-1.0702,-0.7682,-0.7682,-1.0702
38,-0.8210,-0.8859,-0.8210,-0.8859
39,-1.3995,-0.8439,-1.3428,-0.8711
40,0.4210,-0.5280,0.5685,-0.5685
41,0.7128,0.6316,0.6316,-0.9336
42,0.5997,-0.5997,-0.8492,0.7174
43,1.1843,-1.4640,-1.6393,-1.1843
44,0.2121,-0.2121,-0.2572,-0.2572
45,0.8729,0.6650,-0.4263,-0.8659
46,-1.2535,-0.6792,-1.3940,1.0586
47,0.6189,0.6576,0.3185,-0.6576
48,0.7212,0.7212,0.6334,0.5388
49,-0.3490,0.1862,-1.4268,-0.3014
50,0.5227,1.0686,-1.0934,0.9303
51,1.0873,-0.2380,-0.1250,-0.2380
52,0.5355,-0.5355,-0.4691,-0.4691
53,-0.4339,-0.4339,-0.4339,0.4339
54,-0.9202,1.1138,-0.9202,-0.9202
55,-0.7162,-0.9488,-0.7162,0.9193
56,3.7117,3.7117,4.0413,4.6414
57,-2.0222,-2.0222,-2.0222,-2.0222
58,-0.7988,-0.7988,-0.7988,-0.7988
59,-1.3288,-1.3288,-1.3288,-1.3288
60,1.1463,1.1463,1.1463,1.1463
61,-0.3223,-0.3223,-0.3223,-0.3223
62,2.7222,2.8886,2.8886,2.8886
63,0.8826,0.8826,0.8826,0.8826
64,2.6963,2.9195,2.9195,3.2523
65,2.2743,2.2743,2.2743,2.2743
66,2.9346,2.8459,2.8459,3.0766
67,2.1298,2.1298,2.1298,2.1298
68,3.1077,2.9549,2.9549,3.1077
69,1.7573,1.7573,1.7573,1.4782
70,3.3500,3.3500,3.3500,3.0296
71,2.6066,2.6066,2.6066,2.6444
72,3.3813,3.3813,3.3813,3.3813
73,2.6918,2.6918,2.6918,2.6918
74,3.7542,3.7542,3.7542,3.5695
75,2.1335,2.2390,2.2390,2.0065
76,2.7834,2.7834,2.7834,3.2549
77,2.1135,2.0736,2.0736,1.3148
78,3.5893,3.5893,3.5893,3.5839
79,2.1761,2.1761,2.1761,1.7962
80,3.2079,3.2079,3.2079,3.2079
81,2.6705,2.6705,2.6705,2.6863
82,3.8118,3.8159,3.8159,3.8159
83,2.8257,2.6705,2.6705,2.3111
84,3.5734,3.9551,3.7117,3.4920
85,2.7013,2.4911,2.4911,2.2137
86,3.8671,3.9424,4.0838,3.9424
87,2.4970,2.3485,2.3485,2.3485
88,3.7654,3.9300,3.7746,3.7667
89,2.7222,2.4835,2.4835,2.3462
90,4.0644,4.0635,4.3277,4.0635
91,2.7809,2.5757,2.5757,2.5757
92,3.8633,4.0283,3.8849,4.2104
93,2.7867,2.5413,2.5413,2.5011
94,4.1305,4.0404,4.4914,4.0404
95,2.7566,2.4453,2.4453,2.4453
96,3.9568,3.9568,3.9568,4.2559
97,3.0970,2.7670,2.7670,2.6833
98,4.0725,4.0513,4.6606,4.0513
99,2.9351,2.5919,2.5919,2.5919
100,4.0297,4.0297,4.0297,4.2782
101,3.1244,2.8966,2.8372,2.8369
102,4.2540,4.1415,4.7906,4.1415
103,2.9384,2.6115,2.6115,2.6115
104,4.0613,4.0613,4.0613,4.3646
105,3.2631,2.9423,2.9023,2.9023
106,4.2734,4.2841,4.8257,4.2841
107,2.9826,2.6433,2.6433,2.6433
108,4.1357,4.1357,4.1357,4.3827
109,3.2576,3.0196,3.0196,3.0196
110,4.3051,4.3751,4.6116,4.3751
111,3.0430,2.6731,2.6731,2.6731
112,4.3702,4.3459,4.3702,4.3459
113,3.2922,3.0173,3.0173,3.0173
114,4.2870,4.3939,4.3939,4.4527
115,3.0519,2.7061,2.7061,2.7061
116,3.8850,3.6992,3.8850,3.6992
117,2.6551,2.3695,2.3695,2.3695
118,3.6688,3.6688,3.6688,3.8924
119,2.4969,2.2041,2.2041,2.2041
120,4.0329,3.6901,4.1167,3.6901
121,2.6510,2.3340,2.3340,2.3340
122,3.4780,3.4780,3.4780,3.9071
123,2.6205,2.3309,2.3309,2.3309
124,4.0561,3.7340,4.2913,3.7340
125,2.6248,2.3501,2.3501,2.3501
126,3.4921,3.4921,3.4921,3.9585
127,2.7149,2.3888,2.3536,2.3536
128,4.0408,3.7818,4.2522,3.7818
129,2.6240,2.2965,2.2965,2.2965
130,3.5229,3.5229,3.5229,3.9507
131,2.8043,2.4941,2.4215,2.4215
132,3.9704,3.8267,4.1667,3.8267
133,2.6283,2.2734,2.2734,2.2734
134,3.4598,3.4598,3.4598,3.9418
135,2.8515,2.6015,2.3616,2.3616
136,3.9727,3.8825,3.9837,3.8825
137,2.6269,2.2615,2.2615,2.2615
138,3.6504,3.6504,3.6504,3.8919
139,2.8821,2.4312,2.3663,2.3663
140,3.8323,3.8323,3.8323,3.9428
141,2.5856,2.2119,2.2119,2.2119
142,3.4586,3.4586,3.4586,3.4888
143,2.5260,2.2095,2.1332,2.1332
144,3.2582,3.2582,3.2582,3.6490
145,2.2619,1.9271,1.9271,1.9271
146,3.6276,3.4690,3.6525,3.4690
147,2.5275,2.1601,2.1601,2.2602
148,3.1412,3.1412,3.1412,3.6513
149,2.3205,1.9630,1.9630,1.9630
150,3.7613,3.4598,3.8929,3.4598
151,2.4716,2.2488,2.2488,2.2488
152,3.1044,3.1044,3.1044,3.6996
153,2.3915,2.0052,2.0052,2.0052
154,3.5353,3.4757,3.9387,3.4757
155,2.4700,2.1807,2.1807,2.1807
156,3.1056,3.1056,3.1056,3.6796
157,2.4498,2.0803,2.0803,2.0803
158,3.8162,3.5048,3.9480,3.5048
159,2.4349,2.1567,2.1567,2.1567
160,3.1325,3.1325,3.1325,3.6549
161,2.4918,2.1938,2.0427,2.0427
162,3.7279,3.5780,3.7279,3.5780
163,2.4144,2.0490,2.0490,2.0490
164,3.2516,3.2516,3.2516,3.6118
165,2.5280,2.2054,1.9950,1.9950
166,3.5629,3.5629,3.5629,3.6204
167,2.3634,2.0044,2.0044,2.0044
168,3.4062,3.4062,3.4062,3.5591
169,2.5514,2.1014,2.0166,2.0166
170,3.4572,3.4572,3.4572,3.6595
171,2.3799,2.0218,2.0218,2.0218
172,3.4005,3.4005,3.5760,3.4005
173,2.5775,2.1476,1.9406,1.9406
174,3.2925,3.2925,3.2925,3.6751
175,2.3060,1.9707,1.9707,1.9707
176,2.8945,-1.9395,-5.0630,8.0269
177,-4.1900,4.7212,-4.7212,5.2900
178,4.4980,-4.4980,-5.8639,7.9070
179,3.2130,-2.1113,-2.1113,3.7326
180,-1.5773,-1.7409,-2.1942,4.1900
181,2.6206,-4.6142,2.8711,4.5055
182,1.6101,-1.6101,1.6101,-1.4577
183,2.4140,-2.1431,-2.1431,-2.1431
184,2.2889,1.5795,1.5795,1.5795
185,-3.5679,3.5679,-4.1943,4.4167
186,1.2047,-1.2047,1.2047,-1.2047
187,2.6951,-2.4405,-2.6951,-2.8685
188,2.2153,-1.8715,-2.1850,-2.5014
189,-2.1487,-3.3316,-2.1487,2.2256
190,-4.0306,3.6522,-3.6522,3.6522
191,-3.4933,-3.5370,3.8918,5.3867
192,2.0126,2.2252,-2.2252,-2.2252
193,1.6871,1.8303,-1.8303,-1.8303
194,2.6535,2.7383,-2.7383,-2.6535
195,-2.1318,-2.1318,-3.0470,2.1318
196,1.5110,0.3664,-0.3664,-1.7768
197,-3.0447,-3.0447,-3.6745,3.0447
198,-3.1417,4.2041,-4.2041,3.9726
199,-1.1319,-1.1319,-1.1319,-1.3203
200,3.2515,3.4969,-3.8383,4.8141
201,0.5852,1.4177,-1.7260,1.5596
202,-3.3315,-3.3604,-3.3315,3.3604
203,3.0068,-2.4378,-3.8499,3.7537
204,1.9141,1.8594,1.8594,2.1281
205,2.3651,-2.3651,-2.5976,2.7023
206,-3.4013,2.8624,-3.4013,3.4678
207,2.2870,-2.7474,-3.4486,-2.2870
208,-2.7350,3.8774,-3.5303,3.5303
209,-2.5129,3.0236,1.1729,-1.1729
210,2.5829,2.6638,-2.5829,2.5829
211,-3.3565,4.1256,-3.3565,-3.6071
212,-3.3851,4.4427,-3.1448,3.1448
213,-3.3472,-3.3472,3.3472,4.1281
214,2.5715,2.7836,-3.9413,3.9413
215,-1.6406,2.0845,0.6354,-1.6406
216,1.3254,2.4137,-1.3254,-2.4137
217,1.8612,-1.8612,-2.5939,1.8612
218,-3.5084,-3.5282,3.7373,3.5282
219,-3.2948,2.3832,3.2458,2.2967
220,1.8960,1.8305,-1.2887,-1.6912
221,1.1127,2.0157,1.1127,1.1127
222,2.7754,4.2439,-3.3951,3.3951
223,1.8946,-1.5816,-2.1327,1.5816
224,-2.7693,1.3830,2.7693,2.9827
225,-2.0287,-1.8912,2.0287,-2.0287
226,3.2173,-3.1121,-3.2173,3.2173
227,2.1326,-2.1326,-2.1326,3.2300
228,-2.9606,2.9606,2.9606,3.6343
229,0.9998,0.9998,1.8559,0.9998
230,3.0460,-3.0148,-3.0460,-2.6450
231,-2.7548,3.1699,-3.5772,3.1699
232,-1.7350,-1.7350,1.7350,-2.0207
233,3.1875,-3.2308,-3.1875,-3.5043
234,1.9221,-1.9221,1.7892,-1.9221
235,0.6654,-0.5595,1.4184,-0.5595
236,-1.1125,-1.6970,2.2196,-2.1198
