stem,modo,baud,gain,fec_repeat,bytes,acerto_bits,bloco_ok,pico_rx,rms_rx
20260903-172116-chord-off-B2A,mary,100,1.0,2,48,95.78,1,0.1985,0.0335
20260903-172127-chord-off-B2A,mary,100,1.0,2,48,96.42,1,0.2143,0.0363
20260903-172137-chord-off-B2A,mary,100,1.0,2,48,95.95,1,0.2259,0.0385
20260903-172213-chord-on-B2A,mary,100,1.0,2,48,96.71,1,0.1083,0.0234
20260903-172224-chord-on-B2A,mary,100,1.0,2,48,93.5,1,0.1048,0.0225
20260903-172234-chord-on-B2A,mary,100,1.0,2,48,84.23,0,0.1117,0.0235
