simbolo,llr0,llr1,llr2,llr3
0,-1.1003,1.6271,-1.1003,-3.6049
1,0.4127,-1.0390,-1.3420,-2.6403
2,-0.6131,2.1064,-0.9290,-2.3065
3,1.6136,-1.1627,-1.1627,-2.5586
4,-1.0553,1.5322,-1.0553,-3.7251
5,0.8396,1.2131,-0.8396,-3.3317
6,1.4244,2.4162,-1.4244,-5.8789
7,-1.5557,1.6046,-1.1412,-3.9897
8,0.8265,0.8265,-0.8265,-3.5087
9,1.2714,1.4362,1.2714,-4.7437
10,1.0748,0.5758,0.4247,-1.3479
11,-1.2024,1.3656,0.9116,-3.5180
12,1.7220,1.7033,-1.9074,-3.3349
13,-1.4531,0.9255,0.8530,-2.5874
14,1.1516,0.7668,-0.7668,-4.2896
15,0.6448,1.0341,-0.6448,-3.0750
16,0.9913,2.0315,-1.1339,-2.6285
17,3.1706,2.2080,-3.0365,-4.2953
18,-1.2054,2.3764,-2.9478,-4.5577
19,-0.4443,1.5466,-1.7265,-3.9499
20,-0.4903,2.5977,-1.5441,-4.3384
21,1.4859,0.7880,-0.7880,-3.8409
22,-0.8624,0.8002,0.6215,-3.3896
23,-0.4574,0.4574,0.6936,-2.7907
24,-1.4598,1.7832,1.4598,-2.7320
25,-0.9931,0.6847,0.6847,-1.7722
26,0.8621,0.8621,-1.2051,-2.8187
27,-1.5660,1.6878,1.5660,-3.7951
28,1.3420,1.0611,-1.0787,-3.0608
29,-0.3744,1.3970,-0.4707,-2.0365
30,-1.5321,2.3505,-1.5321,-3.2523
31,-0.9113,-0.6608,-0.6608,-3.4779
32,2.1366,2.2999,-2.1366,-5.0482
33,0.3901,1.9954,-2.6266,-2.9119
34,0.4731,0.8974,-1.5636,-3.0698
35,1.4584,2.3897,-1.4209,-4.1450
36,2.2964,1.9620,-1.9620,-3.9943
37,-1.5451,1.3083,-1.3083,-4.8086
38,1.4286,0.9809,-1.4286,-3.6824
39,1.3358,3.4733,-2.7919,-3.5513
40,-0.6338,-1.3960,-1.3960,-3.3710
41,-0.7226,0.8540,-0.7226,-2.2362
42,-1.3651,-0.2937,-1.3651,-1.3651
