simbolo,llr0,llr1,llr2,llr3
0,-0.1985,0.7626,0.1985,-3.2525
1,2.2269,2.2257,-1.8726,-4.8997
2,0.5759,2.2321,0.5759,-2.7014
3,0.8683,2.1434,-0.8683,-4.6377
4,1.5707,2.0636,-1.5707,-4.1207
5,0.5488,0.5488,-0.6496,-2.4322
6,1.7243,1.1678,-0.6351,-3.2985
7,-0.6585,1.2235,-0.6585,-2.0489
8,-1.3903,2.4499,-1.2894,-4.6827
9,1.8524,1.5476,-1.9904,-4.1796
10,1.5241,2.2973,-0.9980,-4.3782
11,1.5089,1.4792,-1.1086,-4.1325
12,2.8398,3.4522,-2.8398,-5.5675
13,-0.8026,1.5715,-0.8026,-2.5961
14,2.7454,1.6578,-2.2459,-4.9175
15,2.0465,2.0465,-2.0696,-4.6539
16,2.1630,3.0151,-1.8272,-3.5374
17,2.3223,2.7288,-2.3223,-4.2342
18,1.4893,2.6003,-0.8522,-3.9250
19,0.6762,0.7706,-0.7706,-3.5416
20,0.9928,1.5349,-0.9928,-3.3719
21,0.8416,2.0778,-3.8485,-5.2594
22,1.3524,1.3524,-2.5941,-5.2894
23,0.6643,1.2107,-0.6643,-3.7467
24,0.9795,0.9795,-2.1560,-3.3213
25,3.1283,3.1283,-3.1283,-4.5529
26,2.0800,2.0800,-2.0800,-3.4857
27,2.3451,2.2949,-2.6438,-4.2289
28,2.0143,2.4043,-2.0143,-4.3287
29,1.6619,3.1954,-1.6619,-4.1809
30,1.2654,1.4522,-1.2654,-3.3719
31,2.6044,2.2654,-2.2654,-4.3203
32,2.6027,2.6027,-2.8811,-4.4610
33,1.5306,2.3862,-1.5306,-3.9536
34,0.9764,1.0311,-1.0311,-3.1219
35,3.0149,3.0149,-3.1564,-4.3744
36,1.9848,3.2491,-3.4752,-4.4424
37,3.3178,3.0552,-3.0552,-4.1299
38,1.2927,1.8275,-1.3908,-2.4919
39,2.2216,1.7456,-2.3217,-3.7957
40,-1.1706,0.9876,0.3301,-1.3313
41,0.6840,0.8396,-0.6840,-1.9776
42,2.9992,3.6883,-3.4203,-4.3765
43,2.3558,2.5379,-1.9921,-3.5791
44,2.1263,2.1103,-3.0920,-4.8423
45,3.1502,3.1502,-4.0793,-4.0793
46,1.3339,1.8175,-1.8926,-2.0102
47,2.0526,2.0526,-2.0526,-3.2075
48,1.2682,1.2248,-1.2682,-2.9006
49,1.3118,2.1557,-1.4823,-3.4483
50,3.3035,3.1837,-3.1837,-3.6726
51,1.4373,1.4373,-1.4053,-2.3260
52,-0.4175,-0.3591,-0.3591,-1.4773
53,1.6361,1.7132,-1.6361,-1.7710
54,1.8117,1.8117,-0.8118,-3.7818
55,1.5832,1.5366,-1.5832,-2.7382
56,1.3468,1.3468,-1.8480,-4.0972
57,2.0075,2.0725,-1.9962,-2.3844
58,1.8966,3.2788,-3.2788,-5.0258
59,-0.4674,0.4982,0.4982,-3.4228
60,1.6537,1.8041,-1.8562,-3.2209
61,1.6726,1.6726,-1.8855,-3.9745
62,1.3228,1.1995,-1.1995,-1.3228
63,1.6525,1.4289,-0.9537,-3.9273
64,0.6300,0.7097,-0.6447,-1.6365
65,1.1356,1.1853,-1.1853,-1.6514
66,0.8076,-1.3878,-1.0008,-1.6534
67,1.8759,1.4835,-1.8759,-3.1663
68,0.8530,2.3699,-1.4034,-3.1175
69,1.8558,1.8558,-1.6882,-2.8273
70,-0.6192,0.6192,1.0319,-1.3832
71,0.6812,-0.7709,-0.6812,-0.9361
72,1.8589,0.9937,-1.0638,-2.0000
73,-0.6731,1.1253,0.6731,-3.6400
74,2.3255,2.6665,-2.8852,-3.6244
75,2.5639,2.5639,-3.1842,-3.1842
76,2.4915,1.9690,-1.9690,-2.4915
77,1.5436,1.2905,-1.8021,-1.8021
78,1.6072,1.6072,-2.0459,-2.2873
79,1.0416,1.8670,-1.0416,-1.4636
80,0.8670,1.3463,-1.0263,-1.0263
81,0.5603,0.9650,0.9650,-2.3210
82,-0.9906,-0.9906,1.6772,-1.6424
83,-0.8323,-0.8323,-0.6956,-0.8323
84,2.4001,3.4754,-2.7122,-2.7122
85,1.8188,1.8188,-2.3868,-3.8451
86,-0.8644,0.8644,-1.5467,-1.5467
87,2.1722,2.6432,-2.6096,-2.6432
88,0.7311,1.1522,-0.7311,-1.7111
89,0.6403,0.9129,-0.6403,-1.5117
90,1.9269,1.9405,-1.9405,-2.2573
91,1.0912,1.0912,-1.0912,-1.9718
92,1.0207,1.8626,-1.0207,-2.1159
93,-0.5810,0.2937,-0.4827,-0.5810
94,1.4129,1.4129,-1.4129,-1.6196
95,3.1373,3.1373,-3.4011,-3.4011
96,1.8092,2.0093,-2.0093,-3.4746
97,1.7142,2.3997,-1.2704,-3.5976
98,-0.6841,1.8530,0.6841,-2.7518
99,0.8155,2.0217,-0.8155,-2.7573
100,1.6020,0.9198,-1.4027,-2.3498
101,0.3535,0.8389,-0.3535,-2.1045
102,0.5856,1.1536,-0.7010,-0.7010
103,2.6424,2.5934,0.3518,0.3518
