simbolo,llr0,llr1,llr2,llr3
0,-0.3873,-0.3873,-0.3873,-0.3873
1,-0.5420,-0.5420,-0.5420,-2.5892
2,-1.1015,1.3756,-1.1015,-3.2548
3,0.7056,-0.7056,-0.7124,-2.1849
4,0.3536,-0.3536,0.4126,-0.3549
5,-1.1915,-0.9129,-1.1915,-1.1915
6,-1.5174,0.6992,0.6992,-2.0845
7,0.7536,-1.9965,-1.2557,-0.6079
8,0.7300,0.7300,-1.3705,-0.7664
9,-0.9350,-0.4580,-0.4580,-0.9350
10,-1.5645,-1.8966,-1.8966,-1.5645
11,-1.4983,-1.4486,-1.4983,-1.6035
12,0.7750,-0.4150,-0.4150,-0.4150
13,-0.5293,0.9822,0.4958,0.4958
14,-0.9709,-0.9709,-0.9709,-2.4141
15,0.9303,0.9303,1.2780,0.9303
16,0.3034,0.5646,-0.5646,-0.5646
17,0.6126,-0.6126,-0.6126,0.6126
18,-0.8607,-0.8607,-0.8607,-0.8607
19,-1.6331,1.6331,-1.7918,-1.7918
20,0.5375,0.8542,0.5375,-1.5007
21,0.4710,-0.9513,0.4710,-0.4710
22,0.3129,0.2157,0.2157,-0.8007
23,1.4756,-0.4571,-0.4571,-0.3255
24,-1.6302,-1.4815,1.6302,-1.4815
25,-1.0523,-2.1448,-1.0523,-1.0523
26,-0.6766,0.9707,-0.6766,-0.6766
27,-0.5450,-0.2988,0.2988,-0.5450
28,0.6846,-0.9523,-0.6846,-0.9523
29,-0.5551,-0.5551,-0.5551,-1.3414
30,-0.9794,0.5971,-0.5971,-1.1380
31,-0.6797,0.5162,-0.5162,-0.6797
32,-1.1572,-0.7302,-0.7302,-1.1101
33,0.4819,0.9528,-0.4819,-0.9528
34,-1.6963,-1.0915,1.0915,-1.6963
35,-0.9697,0.9697,1.3265,-1.7946
36,1.5125,-0.9754,0.9145,-0.9145
37,-0.6153,-0.6153,-0.9211,-0.9211
38,-0.5439,-0.5439,-0.7603,-0.9866
39,0.4796,0.6586,0.6586,0.6586
40,-1.7066,-1.0868,-0.5193,-1.6741
41,0.9077,-0.9077,-0.6977,-1.1814
42,0.9166,-0.3097,-0.3097,0.3318
43,0.9431,-0.9173,-0.2311,-1.6634
44,0.4762,0.5862,-0.4762,-1.3443
45,0.2805,0.5808,0.2805,0.2805
46,0.2969,-0.2969,-0.3867,-1.0731
47,-1.2369,0.5268,-0.5268,-0.5268
48,-0.2877,0.4951,0.4951,0.2877
49,-0.7540,0.7540,0.9246,-0.7540
50,0.4421,0.4421,-0.2303,-0.2303
51,0.7128,1.5837,-0.7128,-1.5837
52,0.3775,0.3426,0.3426,-0.3775
53,-1.0618,1.0618,-1.7394,-1.0618
54,0.2061,-0.2521,-0.0941,0.0941
55,-0.2435,0.5731,1.1646,0.6172
56,-0.6976,-0.9851,-0.6751,-1.4369
57,0.3103,1.2997,0.3103,0.3103
58,0.6208,1.1712,-1.1712,-1.7556
59,1.2404,-1.1785,0.5465,-0.5465
60,-0.6786,1.1685,0.9183,-0.6786
61,2.3028,2.4395,4.7693,2.4395
62,-3.3719,-3.5043,-3.5043,-3.5043
63,-2.6925,-2.0839,-2.0839,-2.6925
64,2.0370,2.6295,2.0370,2.0370
65,4.3951,4.9638,4.9638,5.1847
66,3.3121,3.3121,3.3121,3.3121
67,5.3435,5.3435,5.4139,5.2049
68,4.4237,4.6228,4.5806,4.4237
69,5.4618,5.5899,5.4618,5.6986
70,4.8813,4.8032,4.8032,4.8813
71,6.0408,6.3647,6.0408,6.7821
72,5.7287,5.5186,5.5186,5.7287
73,6.3587,6.7420,6.3587,6.7064
74,5.6457,5.9521,5.5924,5.6457
75,6.8748,6.9816,7.1969,7.0566
76,5.5758,5.5411,5.5411,6.2025
77,6.7107,6.8278,6.7107,7.4414
78,6.0432,6.3978,6.3978,6.0432
79,7.1643,7.3373,7.2648,7.3886
80,6.1173,6.6060,6.1173,6.1576
81,7.3252,7.5043,7.5043,7.7639
82,6.0453,6.3565,6.0453,6.7439
83,7.3024,7.3253,7.3253,7.8708
84,6.3838,7.0651,6.9402,6.2323
85,7.6735,7.8689,7.9683,7.8689
86,6.2115,6.8369,6.2115,6.4027
87,7.6742,7.8237,7.6294,7.6294
88,6.6506,7.0611,6.6506,6.4183
89,7.7555,7.8452,7.8452,8.0998
90,6.5422,7.0294,6.5422,6.2745
91,8.0514,7.8757,7.4801,7.4801
92,6.4155,6.9463,6.4155,6.3399
93,7.9755,8.1084,7.5988,7.5988
94,6.5308,7.0365,6.5308,6.3975
95,8.1200,7.9452,7.7270,7.7270
96,6.4363,6.9227,6.4363,6.4363
97,8.2766,7.5824,7.5028,7.5028
98,6.6145,7.1779,6.6145,6.5527
99,8.2573,8.2592,7.8749,7.8749
100,6.7294,7.1974,6.7294,6.7294
101,8.4526,7.7460,7.7460,7.7460
102,6.5401,7.1539,6.5401,6.5401
103,8.5126,7.8085,7.8085,7.8085
104,6.7849,7.1755,6.7849,6.7849
105,8.4815,8.2969,8.0822,8.0822
106,6.7679,7.0338,6.7679,6.7679
107,8.5624,8.0320,7.9596,7.9596
108,6.9183,7.2360,6.9183,6.9183
109,8.6138,8.1888,8.1888,8.1888
110,6.9554,6.9554,6.9677,7.1530
111,8.6008,8.3870,8.2987,8.2987
112,6.9405,6.9405,6.9427,7.2618
113,8.6534,8.4041,8.4616,8.4041
114,7.1137,6.9467,6.9467,6.9467
115,8.6258,8.4126,8.5872,8.4126
116,6.6628,6.2734,6.2734,7.2722
117,8.6794,8.5148,8.6162,8.5148
118,6.9173,6.7422,6.7422,6.8215
119,8.7010,8.4702,8.7386,8.4702
120,6.8677,6.5016,6.5016,6.5016
121,8.7856,8.4988,8.9888,8.4988
122,6.4869,6.0918,6.0918,6.6982
123,8.7605,8.5184,8.8086,8.5184
124,6.9680,6.3282,6.3282,6.3282
125,8.7713,8.5273,9.0287,8.5273
126,6.5168,6.2529,6.2529,6.2529
127,8.8465,8.5688,8.9773,8.5688
128,6.5061,6.3522,6.3522,6.4265
129,8.7773,8.6716,8.8765,8.6716
130,6.4999,6.0517,6.0517,6.0517
131,8.8461,8.6191,9.0801,8.6191
132,6.5299,6.4335,6.4335,6.4335
133,8.8475,8.6820,8.7994,8.6820
134,6.5023,6.2621,6.2621,6.2621
135,8.7370,8.7034,8.8891,8.7034
136,6.4070,6.4070,6.4070,6.4070
137,8.8153,8.6805,8.8203,8.6805
138,6.4918,6.4918,6.4918,6.4918
139,8.8204,8.7054,8.6940,8.6940
140,6.4887,6.4887,6.4887,6.4887
141,8.7222,8.8239,8.7746,8.7746
142,6.5462,6.5462,6.5462,6.5462
143,8.8042,8.6793,8.6793,8.6793
144,6.6230,6.6230,6.6230,6.6230
145,8.7798,8.8405,8.6641,8.6641
146,6.5687,6.5687,6.5687,6.5687
147,8.6746,8.7014,8.7014,8.8355
148,6.6137,6.6137,6.6137,6.6137
149,8.8423,8.7713,8.6648,8.6648
150,6.6326,6.6326,6.6326,6.6326
151,8.7065,8.8096,8.8096,8.8129
152,6.4384,6.2209,6.2209,6.4384
153,8.7158,8.7994,8.7971,8.7971
154,6.6713,6.6713,6.6713,6.6713
155,8.8490,9.0051,8.8648,8.8648
156,6.2854,6.2230,6.2230,6.2854
157,8.7301,8.9999,8.8494,8.9152
158,6.3447,6.1023,6.1023,6.3447
159,8.7546,9.0963,9.0468,9.0468
160,6.3077,6.3077,6.3077,6.3077
161,8.6866,8.6866,8.6211,8.6392
162,6.5852,6.5852,6.5852,6.5852
163,8.7490,8.7695,8.7695,8.8463
164,6.7719,6.7719,6.7719,6.7719
165,8.8360,8.7518,8.5967,8.5967
166,6.5689,6.3991,6.3991,6.5689
167,8.6788,8.7267,8.7267,8.8733
168,6.6420,6.4102,6.4102,6.6420
169,8.7731,8.9212,8.7291,8.7291
170,6.7129,6.7129,6.7129,6.7129
171,8.8238,9.0295,8.8850,8.8850
172,6.3032,6.0279,6.0279,6.3251
173,8.7355,8.9708,8.7333,8.8102
174,6.5984,6.4310,6.4310,6.5984
175,8.8306,9.0508,8.9874,8.8524
176,6.2483,6.2483,6.2483,6.2483
177,8.5420,8.5420,8.4553,8.4553
178,6.6877,6.6877,6.6877,6.6877
179,8.7752,8.7752,8.7157,8.7157
180,6.9332,6.9332,6.9543,6.9543
181,4.8665,2.0544,2.0544,8.1271
182,-3.9031,4.1280,-4.8087,6.6567
183,3.4044,-3.1983,-3.1983,6.4895
184,0.4275,0.5406,0.4275,2.2698
185,-2.6132,-2.6132,-2.6132,5.1848
186,2.2023,-3.5770,2.1860,3.6829
187,1.1671,-1.1671,1.1671,-1.1671
188,2.8056,-2.9434,-3.1299,5.1127
189,-0.9959,-0.9959,2.2327,1.3192
190,3.9881,4.3506,4.3974,-4.3506
191,1.4072,-1.7355,1.4013,-1.4013
192,1.7301,-1.7301,1.7301,-1.7301
193,3.6771,4.2324,4.2324,-4.2324
194,4.2670,-3.4066,-3.4647,-4.0140
195,2.8463,3.8452,-4.1350,4.1350
196,0.6380,0.6380,-0.6380,1.9761
197,4.5918,-2.7293,-2.7293,-3.7627
198,0.8155,0.3609,-1.0678,0.3609
199,2.9769,3.2853,-2.6937,-2.9769
200,1.4666,-2.3934,-2.9549,-3.0669
201,-0.4088,-0.4088,-1.7827,-1.1345
202,-4.2467,5.0516,-5.0516,5.3553
203,-3.2114,3.2629,3.8143,-3.8143
204,1.9259,-1.9259,1.9259,2.7936
205,2.9321,4.4630,3.6072,-4.4017
206,3.3436,3.9602,4.3832,-3.9602
207,-1.7987,1.7987,1.7987,1.7987
208,-0.4047,-0.9025,-0.4047,-0.4047
209,-1.7504,-1.7504,-1.8016,-1.8016
210,4.1374,-3.5207,3.5207,3.5207
211,3.2754,-3.1141,-3.1141,3.1141
212,3.5772,-3.1038,-4.5295,6.4989
213,-4.2316,4.2316,-4.8166,5.0066
214,-3.3640,4.7100,-3.9917,3.9917
215,-0.9349,-2.9613,-2.2256,3.7690
216,1.6061,-1.6061,1.6061,3.0549
217,-1.9372,-2.1604,2.1604,2.2579
218,2.6987,-2.8162,1.5409,3.8702
219,2.1662,-2.1662,2.1098,2.6623
220,-2.6015,3.0233,-2.6015,-3.0233
221,-1.7451,-2.3500,-1.8043,2.3500
222,3.2121,-3.5241,-3.4509,3.5241
223,-0.5041,0.5041,1.1669,1.3163
224,2.4790,-2.4790,2.4790,-2.2273
225,3.3870,3.5965,3.6318,-3.5965
226,-3.1989,3.2606,3.3770,-3.3770
227,2.8573,3.2940,-2.8573,2.8573
228,-2.7014,3.1770,-3.3217,3.3217
229,-1.9872,-1.2688,-1.2688,1.2688
230,-3.1675,4.4312,-3.2472,-3.3401
231,-2.7115,2.9421,-2.9333,-3.5728
232,-3.5012,-2.4589,2.4589,-3.5130
233,2.9416,2.9416,-2.7994,-3.4181
234,-2.5957,1.4883,2.5957,-3.0628
235,-1.7524,-1.7524,-2.5185,1.7524
236,2.5661,2.4805,-2.5697,-3.9587
237,-2.1110,-1.2747,1.5917,1.2747
238,-1.4132,-1.4132,1.4132,1.4132
239,-3.1835,3.4551,-3.4551,3.4551
240,3.1986,2.9316,-3.8339,3.8339
241,-1.0020,1.1179,0.7124,1.3925
242,3.3747,3.3747,-3.3747,3.0439
243,2.0492,2.0492,-3.4807,-2.0492
244,3.2321,3.3726,3.2111,-3.2111
245,-1.5601,-1.5601,-1.6709,1.6709
246,-2.7241,2.9163,-2.9163,4.5958
247,3.1676,4.9067,3.1676,-3.7375
248,-2.8628,-2.7389,2.7389,2.8649
249,-2.8700,2.2491,2.8700,-2.2463
250,-2.8589,4.1227,-3.4816,3.9834
251,1.4622,-1.4622,1.9200,1.4622
252,2.2511,-2.4180,3.2439,2.4180
253,-1.3295,-1.3295,-1.4727,-1.4471
254,-2.3269,2.6452,-2.3269,-2.6452
255,2.6518,2.1542,2.6518,-2.1542
256,-2.2020,-2.7319,2.7319,3.1553
257,-3.5771,3.5771,-3.5771,2.9795
258,-2.3518,2.5074,2.4197,2.3518
259,-2.0245,-2.5759,-2.0245,2.8460
260,-3.1788,3.9406,-3.1788,-3.9406
261,-1.1052,-1.1052,-1.1052,-1.7467
262,-4.1770,4.0792,-4.0792,4.0552
263,2.8305,-3.0093,-3.6010,-3.3014
264,-1.9897,-1.9897,2.3125,1.9897
265,2.3984,2.5480,-3.0925,2.5480
266,3.5576,-2.7388,-3.5576,2.7663
267,1.4640,2.1717,2.0493,2.1717
268,2.7263,-2.8571,3.2525,-2.8571
269,-1.9565,-2.3852,2.9382,1.9565
270,2.8124,-3.3071,-2.8124,-2.8124
271,-2.0527,-2.0527,3.3969,2.8018
272,-2.0399,-2.1205,3.0478,2.2170
273,2.2641,1.8285,1.8285,2.4895
274,-2.7682,3.0119,3.0119,-3.0119
275,2.6215,3.0919,2.6215,-3.0919
276,-3.0091,3.0146,-3.2220,-3.8070
277,2.5998,-2.2713,-2.2713,2.5998
278,-3.3904,-4.0684,3.5985,-4.0684
279,2.1195,-2.1195,2.1195,2.1195
280,2.3073,2.3073,3.2275,-3.4852
281,-1.4642,1.4642,1.4642,1.9681
282,2.7358,2.7358,-2.7358,3.0703
283,-3.4913,3.4913,-3.4913,3.5158
284,-2.9011,4.0318,-4.5762,4.5762
285,1.6865,1.6865,-1.6865,1.6865
286,-1.7730,-1.4535,-1.7730,1.7730
287,2.7610,-3.7904,3.7698,-3.7698
288,-2.0786,2.0786,2.3870,2.0786
289,-2.1563,-1.8649,-1.8649,-1.8649
290,-2.3870,-2.3630,-2.3630,2.3870
291,3.5564,-3.6253,-3.5830,-3.5564
292,-2.8362,-2.8362,-2.8362,-2.8362
293,-1.9315,-2.5228,-2.5228,-2.5228
294,3.0451,-3.4228,4.0117,-3.4228
295,2.1984,2.1984,-2.4564,2.1984
296,-0.9987,2.6219,0.9987,2.8533
297,3.1524,2.7888,-3.1322,3.1322
298,3.6474,3.0799,-3.2603,-3.6474
299,2.4690,2.5772,-2.7548,2.5772
300,3.5927,3.4848,-3.9502,-3.9243
301,1.7456,1.2974,1.6590,1.2974
302,2.8195,-1.7871,1.7871,1.7871
303,3.5837,3.3490,-3.6167,-3.5837
304,2.4923,3.2678,-3.1732,2.4923
305,-1.1862,-1.1862,-1.7172,1.1862
306,-2.6815,2.9558,2.6815,3.6534
307,1.8637,1.8637,-2.0719,2.6184
308,-2.7670,-2.7736,2.7736,-2.7736
309,-3.1918,2.7622,3.2457,2.7622
310,2.7543,2.7543,-2.7543,-3.0659
311,3.2244,2.7791,-3.4962,-3.4962
312,-3.7974,3.3747,-3.8600,3.8672
313,-3.4548,3.7606,3.4548,-3.6756
314,-2.8499,-3.3982,3.4163,-3.8340
315,2.7247,2.5474,-2.7247,-3.6999
316,-2.0939,-2.0939,-2.5173,2.0939
317,3.2030,3.3811,-3.5958,-3.5958
318,1.1372,2.0066,-1.1372,2.0066
319,3.2940,-2.7084,2.7084,-2.7084
320,2.9587,-2.8257,3.2767,-2.8257
321,-2.4495,-2.2545,3.8620,-3.8620
322,3.2924,-3.7387,-2.8451,-3.9112
323,2.1591,-2.1628,-2.1591,-3.4321
324,-3.1852,3.1852,-3.1852,3.1852
325,3.4717,-2.8351,-3.8139,-4.5258
326,2.7422,3.2016,-3.2016,-3.5564
327,-1.3654,-2.6538,1.3654,1.3654
328,3.4478,-4.2457,-3.4478,-3.8357
329,-2.9280,2.9752,2.9752,-3.0719
330,-2.5296,3.3046,3.3046,-3.3046
331,1.2092,-1.2092,2.5879,1.2092
332,3.3572,-2.6699,2.8859,-2.6699
333,0.4259,-0.2298,-0.1734,-0.1734
334,2.1288,-2.1762,2.1288,2.1762
335,2.8915,-2.4942,-2.4942,-2.4942
336,-1.9899,1.9899,4.0017,-1.9899
337,-1.9920,-1.9920,-1.9920,4.0169
338,3.4293,3.1524,3.4293,-3.1524
339,3.1883,2.9182,3.1883,-2.9182
340,1.8409,2.2220,-2.9994,3.1534
341,-2.0422,-2.9565,-2.0422,2.9565
342,1.8270,1.8270,1.8270,1.9481
343,2.8412,2.8781,2.3894,2.6886
344,1.7365,1.7365,1.7365,1.4666
345,-3.4811,-3.2223,4.1918,3.2223
346,2.8164,3.2718,-1.8234,-1.8234
347,2.8909,-2.4676,-2.9189,-2.9189
348,-2.1029,2.3819,2.6678,2.7867
349,3.1297,-3.4987,3.2444,-3.4987
350,-3.3897,3.4118,-3.3897,3.8954
351,-3.6010,3.6011,-3.6010,4.2624
352,2.1030,2.1030,-2.1030,2.7771
353,3.3262,-2.3267,-2.9209,-2.3267
354,1.8851,-2.1112,2.7689,2.5217
355,-2.6817,-2.6817,-3.4219,-2.6817
356,-3.1002,2.6790,2.3654,3.1002
357,2.1244,-2.2700,2.1244,2.1244
358,-2.2675,-2.9321,2.2675,2.2675
359,1.2702,0.8264,2.3376,2.0190
360,-3.4525,3.5584,-3.4525,-3.5584
361,-1.7992,1.1447,1.5081,1.5081
362,-3.0271,-2.7187,-3.0271,-2.9055
363,-2.3138,2.8386,3.3722,-2.3138
364,-3.2989,2.3828,2.7652,2.3717
365,2.9081,3.2352,3.0412,-2.9081
366,2.1199,2.2810,-2.1199,2.1199
367,2.3996,3.1298,-2.7661,-2.3111
368,3.6533,-3.6533,-4.0134,3.6533
369,-2.7772,-2.7772,3.1481,-4.2198
370,-3.7259,4.0556,-3.7413,4.0556
371,-2.3311,1.6428,2.4207,1.6428
372,1.9996,2.6905,-3.1585,2.6994
373,2.3256,-2.3256,-2.3256,-2.3256
374,1.3148,1.0000,1.4008,1.0000
375,2.5425,2.6222,-2.9756,-3.4052
376,-2.1475,-2.2718,-2.3020,2.1475
377,-2.7652,-2.7652,-3.3373,2.7652
378,-2.2026,2.5323,2.5323,3.0592
379,3.7832,-3.7832,-4.1050,3.7832
380,2.0273,-2.9548,2.0273,2.9548
381,-2.8303,3.2087,3.9449,-3.2087
382,2.8872,-3.2786,3.2519,-3.2519
383,-1.1188,-1.3692,1.2097,1.1188
384,1.2254,1.2254,-1.4966,1.4966
385,-1.9388,-2.1201,-1.9388,-1.9388
386,-2.6954,2.6954,-3.2927,-2.6954
387,-2.3512,-1.2092,1.2092,1.2092
388,2.4700,-3.1809,2.0802,3.3313
389,2.7243,3.3324,2.7243,-3.3324
390,-3.0651,-3.3489,3.3489,3.5006
391,-1.3462,1.0917,1.0917,1.3462
392,-2.5781,-3.4324,3.1451,3.4324
393,2.1208,2.1208,2.7964,-2.1208
394,1.3789,2.0492,1.7462,1.7462
395,-2.8954,-2.1146,2.8954,3.2505
396,-3.1644,3.2328,-3.6618,-3.6618
397,-4.2164,3.4952,-3.4952,3.5962
398,0.6021,0.9801,1.1098,0.6021
399,-2.5484,4.0058,-2.5484,-3.3415
400,2.9567,-2.9567,-2.9567,3.8304
401,1.6582,2.5786,2.0038,2.0038
402,-2.0646,-2.0646,2.1927,2.1927
403,-2.8870,-2.9615,-2.9615,3.0405
404,-3.7192,3.6846,-3.6846,3.0396
405,2.8796,-2.7769,-2.7769,-2.7769
406,1.8603,-1.8603,1.8603,2.2417
407,-2.1678,-2.9409,-2.0106,-2.0106
408,-2.3595,2.3595,2.3595,-2.4167
409,-2.6905,-2.2052,2.2052,2.4565
410,3.1338,3.4232,3.4202,-2.9705
411,3.1263,-3.3377,-3.3377,3.3377
412,-3.1185,3.9543,-3.1957,-3.9543
413,3.6598,2.5692,-3.7402,-3.5233
414,-2.0473,2.0473,2.1689,2.3396
415,-2.6607,3.1471,-2.6607,-3.1471
416,2.7241,-3.2026,3.2026,-3.3081
417,-3.5931,3.5931,-3.5931,3.5931
418,1.9016,-1.8564,1.4887,1.8564
419,1.8875,2.1141,-3.2709,-2.1486
420,2.8602,2.3137,3.0914,-2.3137
421,-1.5608,-1.5608,1.5608,1.5608
422,2.6046,2.1295,-2.3984,-2.3984
423,2.7278,-2.6929,-2.8280,-2.8280
424,3.4939,3.4939,-3.8844,-4.5338
425,3.4579,-2.1540,-2.5252,-2.5252
426,-1.4351,-2.8967,1.4351,1.4351
427,-2.6585,-2.6585,2.6585,2.6585
428,-2.2765,-2.2765,-2.7502,-2.7502
429,0.9711,0.9711,0.8735,0.8735
430,-1.5904,1.4316,1.4565,1.4565
431,-3.0582,2.3708,3.0944,-3.9966
432,1.7545,-2.7798,-1.7545,-1.7545
433,1.3690,1.4135,1.9274,1.3690
434,1.2606,1.5037,1.5037,1.2606
435,1.8671,1.8671,1.8671,1.8671
436,3.4159,-3.4159,-3.6462,4.1506
437,3.0375,4.2583,3.0375,-2.2596
438,-2.8503,3.5886,-2.8242,-2.8242
439,-1.4822,-1.4822,1.5531,1.5531
440,2.8257,3.2923,-3.2923,3.3977
441,-2.8338,-2.8503,3.5421,-2.8503
442,3.1760,-3.1381,3.7855,-3.1381
443,2.3302,2.3177,2.1302,-2.1302
444,2.3476,2.4480,-2.6817,-2.9474
445,-3.5132,-3.4678,3.4678,-3.5132
446,3.5633,-3.4436,-3.5633,3.5633
447,-1.3963,-1.3963,1.3963,1.1496
448,-1.8532,1.0786,2.7498,1.0786
449,1.9960,1.3231,1.9816,1.3231
450,-3.0061,2.9577,3.0061,-2.9577
451,3.4612,-3.4364,-3.4364,3.4612
452,-2.3624,3.0848,-2.3624,-3.0848
453,-3.2313,3.8749,-3.2313,3.4043
454,2.1744,-3.2160,-3.0108,-2.4555
455,2.4110,-2.4110,2.4110,-2.4110
456,3.6792,2.5656,-3.0658,-3.1657
457,3.0614,3.8724,3.0429,-3.2528
458,-2.7554,-3.0196,2.7554,-2.7554
459,-2.4082,2.5283,3.3464,-4.1730
460,-3.2476,-2.3141,-1.7743,-3.2476
461,-1.9505,-1.8307,1.9505,1.8307
462,2.3376,2.8786,-2.3376,-2.9411
463,-2.2664,3.3064,3.3667,-3.6146
464,3.7292,4.1126,-3.7292,-4.1126
465,-2.5961,2.1897,2.5961,2.5961
466,2.2516,3.1256,2.8323,-4.9229
467,-2.7442,-2.7442,-3.0851,-3.5238
468,3.1055,-3.1055,-3.1055,-3.1055
469,1.7105,-2.6424,1.7105,1.7105
470,2.1993,1.7584,-1.7584,-1.7584
471,2.1650,2.9352,-2.9352,2.9779
472,2.7449,-1.2289,1.2289,1.3177
473,-3.7617,3.7617,-3.7617,4.0648
474,-2.1925,-2.5565,-2.1925,3.3624
475,2.0771,2.7451,2.0771,-2.0771
476,3.2363,-3.2363,-2.9836,-2.9836
477,-3.5838,-3.7248,3.6152,-4.7263
478,-2.6549,-3.5474,-2.6549,3.6717
479,1.8673,1.8673,-2.2198,2.2198
480,2.0744,0.9826,1.3978,1.1417
481,-1.9511,-1.9511,-1.9511,-2.4435
482,2.6935,2.3607,-3.0556,-2.9964
483,2.4921,-2.6594,-3.0695,-2.6594
484,-1.8508,-1.8508,-1.8508,-1.8508
485,-2.7150,-3.0044,2.8355,-2.9573
486,-3.0898,2.7287,2.7287,3.0898
487,-3.5376,3.1971,-3.1971,3.1971
488,-2.8894,-3.4010,3.1698,-3.1698
489,1.9795,2.5869,-2.8926,-1.9795
490,2.4856,2.7262,2.4856,-2.4856
491,2.9363,2.9363,-3.2312,2.9363
492,-2.2048,1.5514,2.2048,-2.2048
493,-2.7729,2.8658,2.8658,2.7729
494,-1.6262,-1.6262,-1.6442,-1.6262
495,2.1754,-2.2275,2.1754,2.1754
496,-1.9531,-3.9174,-1.9531,2.1977
497,-2.6190,-2.1837,2.6330,2.9000
498,-2.6230,2.0341,2.7477,3.5585
499,2.7091,3.1052,3.6262,-3.7537
500,-1.8610,-2.0765,-2.0765,2.0765
501,1.8145,1.8412,2.3493,1.8412
502,-2.5513,3.6067,-2.5513,-4.0231
503,2.6788,-2.4530,2.6788,-2.4530
504,-3.1315,3.5314,3.3031,-3.3031
505,-0.3615,-0.3615,0.5649,1.1798
506,3.5026,-3.1605,4.3412,-3.1605
507,-2.5234,2.5234,-2.5234,2.5234
508,-2.0385,-2.2331,2.1175,-2.1175
509,2.6404,2.6404,-3.0546,3.0546
510,2.4339,2.4339,2.0093,-2.0093
511,-1.7076,1.9594,2.3138,1.9594
512,-2.1068,-2.1068,-2.3166,2.3923
513,3.0877,3.0877,2.9109,-2.9109
514,-3.3011,3.5196,-3.2931,-3.2931
515,-3.3148,2.8314,2.6700,-2.7156
516,-3.5492,3.5741,-3.1145,-4.0768
517,-2.5024,-1.6277,-2.0944,1.6277
518,2.1310,2.6286,-2.9637,2.9637
519,2.8453,-2.6822,2.9080,-2.6822
520,-3.5026,-2.6631,2.7678,-2.6631
521,-3.4846,-2.4743,-2.7925,-3.0880
522,0.9060,0.9060,0.9060,0.9060
523,2.8269,2.8826,-2.8269,2.8269
524,3.2942,2.8111,-3.2271,-2.5197
525,-2.6288,-2.6288,2.6288,-2.9274
526,0.7594,-1.5021,0.7872,0.7594
527,-2.7972,2.0216,2.7972,2.0216
528,-1.8925,-3.0360,-1.8925,1.8925
529,3.6741,-3.7063,-4.0750,4.0750
530,4.0158,3.3363,-3.6689,-3.3787
531,-2.3047,-3.3319,-3.6806,-2.3047
532,2.7377,3.3906,-3.4844,3.2850
533,2.1150,-2.2309,-3.3972,-2.2309
534,-2.9612,-2.4456,2.4456,-2.4456
535,-3.7187,4.1454,-4.4705,4.1454
536,-1.2058,-1.6534,-1.6534,1.6334
537,-3.0715,2.8904,-3.0715,-3.8050
538,3.3254,-3.4127,-3.3254,3.3254
539,1.6401,-1.6401,1.3996,2.6294
540,1.7186,1.7733,1.7186,1.7186
541,2.3910,-2.5113,2.5113,2.3910
542,-3.1120,3.1120,-3.1120,-3.1120
543,3.0223,-3.0223,2.9529,-3.0228
544,-1.9169,-2.1517,2.8018,-1.9169
545,2.8709,3.2236,-3.2858,-2.8709
546,-3.4891,3.4891,-3.4891,3.6258
547,-2.7468,3.3156,2.7966,-2.7966
548,-3.4903,1.8991,3.4903,1.9660
549,-1.6802,-2.1739,-1.6802,2.1739
550,-0.6080,-0.1481,0.1481,0.1481
551,-2.1106,-2.1106,-2.3945,-2.3945
552,-2.2915,-1.2515,-2.2915,2.2915
553,3.0725,2.9725,2.9725,-2.9725
554,-2.5584,-2.2841,2.6794,-2.2841
555,-2.8166,3.5661,-2.8166,-3.5661
556,2.5070,4.2252,-3.1154,-3.1859
557,-2.2384,2.9761,-2.2384,-2.7700
558,-2.6696,1.9633,1.9724,-4.1005
559,3.9166,-2.9439,4.1972,-2.9439
560,2.3509,2.3509,-2.5782,2.5782
561,-2.3146,3.4845,-2.2085,-2.7998
562,-1.1256,-3.1955,3.0687,-2.9087
563,3.6138,-3.6142,-3.3242,3.3242
564,-2.1378,-1.6907,1.6907,-3.3608
565,-2.5077,-2.7144,-2.5077,2.5077
566,-2.4220,1.2350,2.6193,1.2350
567,1.9117,-1.6321,1.3657,1.8797
568,3.3389,-3.6335,-3.6334,-3.3848
569,3.2569,-3.5430,-3.5595,4.8436
570,-1.3838,1.3838,2.1326,2.1326
571,-3.2802,3.2802,-3.2802,3.5608
572,-3.6223,-3.3132,-3.7511,4.4386
573,-2.4762,2.7991,2.7991,-2.7531
574,-2.6856,2.7242,-3.0939,-3.1699
575,-2.3264,-1.8120,-1.8120,-1.8120
576,-2.2550,-2.4129,-2.4129,2.4060
577,-2.6981,-2.5974,1.7155,1.7155
578,3.2061,-3.2061,3.3482,-3.3482
579,2.8492,-3.0879,-3.7961,3.7961
580,-2.4525,3.1693,3.3239,-3.1693
581,-1.4163,1.4163,1.6379,1.4163
582,-2.8236,2.8236,3.0591,-3.0591
583,0.4103,-0.4103,1.8246,0.4103
584,-2.4167,-3.2085,2.6713,2.4167
585,2.3442,-2.3442,-2.3442,-3.8174
586,-3.7135,3.7135,-3.7135,4.9614
587,3.2698,-3.1921,-3.3540,-3.3540
