simbolo,llr0,llr1,llr2,llr3
0,1.5901,-2.5402,-1.2709,-1.5225
1,1.8398,-1.8398,-1.3856,-2.1176
2,1.7344,-1.2274,-1.2274,-1.5581
3,1.3700,-1.9744,-0.8573,-1.3197
4,-0.0308,0.5413,-0.0308,-1.5334
5,0.0456,0.0456,0.0456,-0.4825
6,0.3383,0.3383,-0.3383,-0.6399
7,-1.4413,-1.8628,-1.4413,1.2551
8,-0.3987,0.1319,0.2702,0.1319
9,1.6021,0.7433,-0.7287,0.7433
10,-0.2603,0.3839,-0.7520,0.2603
11,0.9198,0.9198,0.4253,-0.9198
12,-1.1292,-0.7115,0.4542,-0.7115
13,0.1733,-0.1733,0.2106,-0.1733
14,0.3871,0.4441,-0.6083,-0.6083
15,0.5341,-0.5341,0.6096,0.5341
16,0.5254,0.7692,0.5254,-0.5254
17,-0.1774,0.2714,1.6726,-1.1262
18,-0.5903,-1.4581,1.4581,0.8613
19,0.5199,0.1423,-0.5199,-0.1423
20,0.2204,-0.2204,0.6858,-0.3140
21,0.2051,1.4653,0.2051,-0.9430
22,-1.4208,0.1591,0.1591,0.1591
23,0.5309,2.1389,0.1919,-2.0670
24,0.9647,1.5541,0.9647,-1.5737
25,-1.1234,-1.1234,0.9280,-0.9280
26,-0.7068,-0.7068,1.1662,-0.7068
27,0.2258,-0.2258,-0.7597,-0.8141
28,0.3726,-0.7419,0.3726,-0.3726
29,-0.9113,0.7494,-0.9113,-1.8059
30,-0.2293,-0.2293,0.2407,0.2407
31,-1.1858,0.4786,-0.2117,-0.2117
32,0.0980,-0.0980,0.0980,-0.6795
33,0.9571,0.9737,-1.6762,-1.0893
34,0.7290,-0.2050,-0.0339,0.2050
35,-0.0035,0.0035,0.0035,-0.0035
36,-0.5486,0.5486,0.4206,-0.0720
37,0.6460,0.6736,0.6736,-0.6736
38,0.2163,-0.2163,-0.2163,-0.2163
39,0.2547,-0.5691,-0.2547,-0.4382
40,-0.6776,1.6189,-0.8497,-0.6776
41,-0.6975,-0.2334,0.2334,0.8361
42,-0.5727,-0.5727,0.5727,-0.5727
43,-0.9326,-0.3821,0.3821,0.3821
44,-0.2130,0.0461,0.2834,0.0461
45,0.5177,0.5177,-0.5177,0.5177
46,-0.1359,-0.1359,-0.4163,-0.1359
47,-0.2926,-0.2926,-0.2926,0.1438
48,-1.2658,1.5020,-1.2658,-1.6144
49,-0.2340,0.8036,0.4482,0.2340
50,0.4134,0.4668,-0.4134,0.4134
51,0.8112,-0.8112,0.8112,0.8112
52,-0.5990,0.2853,0.8296,-0.5695
53,-0.8581,0.2266,0.2266,0.2432
54,-0.1299,0.0077,1.2304,0.0077
55,-0.9981,-1.0109,0.9003,-0.9981
56,0.1144,0.1144,-0.1144,0.2197
57,0.8210,0.6172,3.1885,0.6172
58,3.5635,2.5438,2.5438,2.5438
59,5.7948,5.7948,5.7896,6.4699
60,8.7685,7.6209,8.6664,8.7061
61,7.8844,7.7560,7.2045,7.2045
62,8.3179,8.3179,8.4967,8.3179
